fecha,indicador,valor,unidad,fuente
2014-09-01,icg_utdt,1.706,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-08-01,icg_utdt,1.821,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-07-01,icg_utdt,1.872,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-06-01,icg_utdt,1.7,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-05-01,icg_utdt,1.512,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-04-01,icg_utdt,1.402,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-03-01,icg_utdt,1.526,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-02-01,icg_utdt,1.385,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2014-01-01,icg_utdt,1.462,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-12-01,icg_utdt,1.681,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-11-01,icg_utdt,1.847,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-10-01,icg_utdt,1.976,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-09-01,icg_utdt,1.772,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-08-01,icg_utdt,1.869,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-07-01,icg_utdt,1.679,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-06-01,icg_utdt,1.744,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-05-01,icg_utdt,1.42,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-04-01,icg_utdt,1.759,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-03-01,icg_utdt,1.914,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-02-01,icg_utdt,1.831,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2013-01-01,icg_utdt,1.762,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-12-01,icg_utdt,1.839,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-11-01,icg_utdt,1.687,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-10-01,icg_utdt,1.669,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-09-01,icg_utdt,1.688,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-08-01,icg_utdt,1.804,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-07-01,icg_utdt,1.843,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-06-01,icg_utdt,1.985,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-05-01,icg_utdt,2.142,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-04-01,icg_utdt,1.904,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-03-01,icg_utdt,2.256,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-02-01,icg_utdt,2.558,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2012-01-01,icg_utdt,2.749,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-12-01,icg_utdt,2.71,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-11-01,icg_utdt,2.622,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-10-01,icg_utdt,2.621,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-09-01,icg_utdt,2.641,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-08-01,icg_utdt,2.246,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-07-01,icg_utdt,2.478,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-06-01,icg_utdt,2.294,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-05-01,icg_utdt,2.339,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-04-01,icg_utdt,2.186,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-03-01,icg_utdt,2.424,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-02-01,icg_utdt,2.179,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2011-01-01,icg_utdt,2.164,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-12-01,icg_utdt,2.336,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-11-01,icg_utdt,2.422,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-10-01,icg_utdt,1.704,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-09-01,icg_utdt,1.771,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-08-01,icg_utdt,1.796,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-07-01,icg_utdt,1.687,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-06-01,icg_utdt,1.61,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-05-01,icg_utdt,1.592,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-04-01,icg_utdt,1.39,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-03-01,icg_utdt,1.337,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-02-01,icg_utdt,1.187,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2010-01-01,icg_utdt,1.259,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-12-01,icg_utdt,1.044,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-11-01,icg_utdt,1.159,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-10-01,icg_utdt,1.146,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-09-01,icg_utdt,1.224,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-08-01,icg_utdt,1.111,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-07-01,icg_utdt,1.235,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-06-01,icg_utdt,1.34,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-05-01,icg_utdt,1.322,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-04-01,icg_utdt,1.354,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-03-01,icg_utdt,1.358,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-02-01,icg_utdt,1.375,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2009-01-01,icg_utdt,1.505,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-12-01,icg_utdt,1.368,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-11-01,icg_utdt,1.428,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-10-01,icg_utdt,1.379,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-09-01,icg_utdt,1.442,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-08-01,icg_utdt,1.395,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-07-01,icg_utdt,1.269,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-06-01,icg_utdt,1.208,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-05-01,icg_utdt,1.334,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-04-01,icg_utdt,1.74,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-03-01,icg_utdt,1.861,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-02-01,icg_utdt,1.977,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2008-01-01,icg_utdt,2.369,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-12-01,icg_utdt,2.044,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-11-01,icg_utdt,1.981,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-10-01,icg_utdt,1.678,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-09-01,icg_utdt,1.89,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-08-01,icg_utdt,1.864,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-07-01,icg_utdt,1.999,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-06-01,icg_utdt,2.075,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-05-01,icg_utdt,2.229,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-04-01,icg_utdt,2.143,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-03-01,icg_utdt,2.594,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-02-01,icg_utdt,2.584,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2007-01-01,icg_utdt,2.688,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-12-01,icg_utdt,2.334,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-11-01,icg_utdt,2.438,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-10-01,icg_utdt,2.544,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-09-01,icg_utdt,2.481,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-08-01,icg_utdt,2.412,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-07-01,icg_utdt,2.534,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-06-01,icg_utdt,2.691,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-05-01,icg_utdt,2.496,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-04-01,icg_utdt,2.537,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-03-01,icg_utdt,2.702,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-02-01,icg_utdt,2.622,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2006-01-01,icg_utdt,2.632,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-12-01,icg_utdt,2.261,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-11-01,icg_utdt,2.422,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-10-01,icg_utdt,2.192,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-09-01,icg_utdt,2.114,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-08-01,icg_utdt,2.42,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-07-01,icg_utdt,2.07,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-06-01,icg_utdt,2.311,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-05-01,icg_utdt,2.371,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-04-01,icg_utdt,2.489,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-03-01,icg_utdt,2.8,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
2005-02-01,icg_utdt,2.387,índice 0-5 (confianza en el gobierno),"UTDT (ICG, serie XLS)"
